0	0
0	0
1	0.0759
0	0
2	0.0960
2	0.3371
1	0.0899
2	0.1713
2	0.3522
2	0.1846
3	0.3232
1	0.1252
3	0.3339
4	0.4171
3	0.2979
3	0.3733
4	0.4157
3	0.3408
2	0.3095
2	0.3842
1	0.3464
1	0.3008
2	0.2994
1	0.3318
1	0.3219
1	0.3275
2	0.3124
3	0.3822
2	0.3105
1	0.3071
1	0.3129
1	0.3183
1	0.3232
1	0.3202
2	0.3236
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0.3148
2	0.3124
4	0.3306
3	0.3504
3	0.3497
2	0.1634
3	0.2154
3	0.3849
3	0.3538
3	0.2682
2	0.1716
2	0.1858
3	0.3848
2	0.3443
2	0.3596
2	0.3601
3	0.3329
1	0.3044
2	0.3663
1	0.3866
1	0.3462
