15	0.6737
16	0.6503
17	0.6529
17	0.6444
15	0.6430
17	0.6876
18	0.6703
16	0.6823
16	0.6644
22	0.6323
17	0.6356
13	0.6360
16	0.6210
17	0.6290
17	0.6042
13	0.6280
20	0.6403
18	0.6303
24	0.5114
26	0.5515
24	0.5411
22	0.4388
24	0.4736
21	0.3427
21	0.4167
20	0.3665
20	0.4767
22	0.6220
18	0.5589
17	0.5057
20	0.5239
18	0.5031
19	0.4660
20	0.4949
21	0.4939
19	0.5561
22	0.5654
19	0.5807
19	0.6444
26	0.5638
22	0.5496
21	0.5080
27	0.4998
21	0.2553
25	0.4540
22	0.5105
20	0.5344
17	0.2314
19	0.4649
20	0.4038
21	0.3751
19	0.3699
21	0.4164
26	0.3703
23	0.3705
17	0.5043
8	0.4128
7	0.4954
5	0.5559
8	0.6722
3	0.7283
8	0.7050
15	0.6655
18	0.6816
14	0.7125
21	0.6244
18	0.5565
18	0.6162
20	0.5683
22	0.5448
21	0.5359
21	0.4633
23	0.4445
20	0.4173
20	0.4702
